indentation	style_name	style_description
;;;	Puxa 	Energetic dance style that combines solid bass lines with subtle melodies and harmonies of São Toméan music.
;;;	Semba 	Style from Angola featuring danceable percussion, lyrics often taking the form of a story, and sometimes accompaniment from a guitar.
;;;	Soukous 	Danceable, guitar-based style from the Congo area.
;;;;	Kwassa kwassa 	Faster form of Soukous that was pioneered in the late 1980s and early 1990s, named after a popular dance.
;;;	Tradi-moderne congolais 	Updates traditional Congolese music with electric instrumentation.
;;;	Twa Music 	Music of the Great Lakes Twa people.
;;;	Zamrock 	Developed in the Copperbelt region of Zambia in the 1970s, characterized by its blend of local sounds with influence from Funk, Hard Rock, and Blues Rock.
;;	East African Music 	Traditions which originate from the eastern subregion of the African continent, encompassing a wide variety of cultures and styles.
;;;	Acholi Music 	Music of the Acholi people, who inhabit a region known as “Acholiland,” spanning parts of northern Uganda and southern South Sudan.
;;;;	Acholitronix 	Fusion of traditional Acholi rhythms and melodies with Electronic production, originating in the city of Gulu.
;;;	Baganda Music 	Music of the Baganda people, a Bantu ethnic group indigenous to Uganda.
;;;;	Buganda Royal Court Music 	Highest traditional and refined musical forms of Buganda, reserved for the Kabaka (the king of Buganda).
;;;;	Kadongo kamu 	Oldest form of mainstream music in Uganda, dating back to the early 1950s, translating to “one little guitar” from the Luganda language.
;;;;	Mataali 	Islamic praise genre of the Muslim community of Buganda, named after the frame drum on which the rhythm is played.
;;;	Benga 	Kenyan popular music based around the Traditional Folk Music of the Luo people from the area.
;;;	Beni 	Festive Zanzibari Marching Band music that emerged in the late 19th century.
;;;	Bongo Flava 	Tanzanian genre originating in the mid-1990s in the Dar es Salaam area, combining the influence of Rhythm & Blues, Afrobeat, and Dancehall with native Tanzanian styles like Taarab and Muziki wa dansi.
;;;	Comorian Music 	Music of the Comoros Islands and Mayotte off the eastern coast of Africa, combining influences from other East African Music and Malagasy Music.
;;;	Dinka Music 	Music of the Dinka people, the most populous ethnic group of South Sudan.
;;;	Genge 	Combines elements of Dancehall with various traditions of Kenya.
;;;;	Gengetone 	Takes strong influence from Reggaetón and modern Dancehall, featuring more explicit lyrics and harder beats.
;;;	Gogo Music 	Music of the Gogo People (Wagogo), who inhabit Central Tanzania.
;;;	Inkiranya 	Influential drumming style originating in Burundi carried out by a percussion ensemble.
;;;	Kapuka 	Includes elements from Hip Hop and Reggae, as well as Kenyan traditions.
;;;	Kidandali 	Popular form of Ugandan music, originally derived from Kadongo kamu and Soukous.
;;;	Kidumbak 	Centered on two small kidumbak drums, fiddle, and singer; closely related to Taarab.
;;;	Marrabenta 	Fast, guitar driven, urban dance music from Mozambique that originated in Maputo in the 1950s, taking cues from Mozambican folk and a variety of foreign sounds.
;;;	Mchiriku 	Pairs amplified keyboards with hectic, intricate percussion and vocals drawn from earlier Tanzanian styles.
;;;	Muziki wa dansi 	Popular in Tanzania with strong connections to Soukous and often associated with Jazz, whose name means "dance music" in Swahili.
;;;	Ngoma 	Played in Swahili-speaking African countries; primarily focused on rhythm.
;;;;	Unyago 	Traditional music from Zanzibar, traditionally played at women's initiation rituals and weddings.
;;;	Omutibo 	Mid-20th century Kenyan popular music which centres around a fingerpicked acoustic guitar.
;;;	Shilluk Music 	All musical forms of the Shilluk people of the Upper Nile region of South Sudan.
;;;	Singeli 	Developed in Tanzania in the mid-2000s; fuses incredibly rapid beats, usually between 180-300BPM, with MCing and musical influences from older Tanzanian genres.
;;;	Soga Music 	Music of the Soga people, a Bantu ethnic group residing in Eastern Uganda.
;;;	Taarab 	Prominent violin, qanun (an Egyptian zither-like instrument), and sung Swahili poetry, often accompanied by African drums and other percussion.
;;;	Timbila 	Tradition of the Chopi people of the Inhambane province of Mozambique, named for the mbila, the wooden xylophone-like instrument on which it is played.
;;;	Twa Music 	Music of the Great Lakes Twa people.
;;	Malagasy Music 	Music of the Malagasy peoples.
;;;	Kalon'ny fahiny 	Fusion of music from the highlands of Madagascar and western Operetta.
;;;	Malagasy Folk Music 	Melodic, chordophone-dominated sound; based on the Austronesian Music of the first settlers that arrived on the island from Borneo.
;;;	Salegy 	Features rich, harmonized vocals and chiming guitar lines.
;;;	Tsapiky 	Very fast and jerky rhythms, guitar duets, and polyharmonic chants.
;;	North African Music 	Music of North Africa.
;;;	Amazigh Music 	Music of the Amazigh people, the indigenous people of Northwest Africa (with main hubs in Morocco and Algeria) and certain parts of West Africa.
;;;;	Ahwash 	Associated with the Tashelhit-speaking peoples of southern and central Morocco, and performed in large groups, combining singing, poetry and drumming.
;;;;	Izlan 	Uses sung poetry with a focus on love themes.
;;;;	Kabyle Music 	Music of the Kabyle Amazigh people.
;;;;	Sahrawi Music 	Music of the Sahrawi people, an ethnic group who inhabit the westernmost areas of the Sahara Desert.
;;;;	Staïfi 	Festive Chaoui genre that mixes local rural music with the zendali rhythm and modern instruments.
;;;;	Tuareg Music 	Amazigh Music by the nomadic Tuareg people who live through the Saharan desert in North Africa, encompassing various types of traditions and popular styles.
;;;;;	Takamba 	Traditionally performed with a singer only accompanied by a guitar named tehardent, handclaps as percussion, and dancers; now usually performed by a band consisting of two tehardents, bass and solo, calabashes, a singer and dancers.
;;;;;	Tishoumaren 	Electric guitar-led North African music emerging from traditional Tuareg Music in the 1980s.
;;;	Egyptian Music 	Music of the people of Egypt.
;;;;	Al jeel 	Emerged in the 1970s as an alternative to Shaabi, taking influence from foreign Pop and incorporating rhythms of Reggae while retaining a distinctly Egyptian sound.
;;;;	Ancient Egyptian Music 	Music of ancient Egyptian civilization.
;;;;	Coptic Music 	Church music specifically made for worship in the Coptic (Egyptian) Orthodox Church.
;;;;	Raqs baladi 	Egyptian folk dance and its associated musical accompaniment, appearing in the 20th century.
;;;;	Sa'idi 	Traditional folkloric performance and form of Arabic Folk Music originating from Upper Egypt.
;;;;	Shaabi 	Developed in Egypt during the early 1970s, typically created by and for the urban working class with witty lyrics that reflect this.
;;;;;	Mahraganat 	Draws elements from Hip Hop, featuring auto-tuned vocals, rapping, Electronic production, and explicit lyrics.
;;;;;	Trap shaabi 	Combining Trap percussion and rhythms with Egyptian Shaabi and especially Mahraganat.
;;;	Maghrebi Music 	Western region of the Arab world, encompassing the modern countries of Algeria, Libya, Morocco, Tunisia, and the disputed territory of Western Sahara.
;;;;	Aita 	Arabic Folk Music from rural Morocco with piercing singing, scratchy viola, and rollicking hand drums.
;;;;	Algerian Chaabi 	Features mournful vocals over an orchestral setting of violins, mandolins, pianos, and percussion.
;;;;	Andalusian Classical Music 	Arabic Classical Music tradition that had its beginnings in Al-Andalus, the medieval Islamic Iberian peninsula, which later spread and developed in the Maghreb.
;;;;	Banga 	Sufi ritual trance music of southern Tunisia performed by Black communities.
;;;;	Gnawa 	Mixture of Sub-Saharan African, Arabic, and Amazigh Music, created by the Gnawa, an ethnic minority group in North Africa, mainly Morocco.
;;;;	Malhun 	Moroccan sung poetry with instrumental accompaniment.
;;;;	Moroccan Chaabi 	Upbeat style of Moroccan popular music played in streets, cafés, weddings, and festivals.
;;;;	Raï 	Originated in Algeria in the 1920s as a form of Bedouin Music, blending influences from various rural and urban genres.
;;;;;	Pop Raï 	Fuses melodic sensibilities into the traditional Raï structure, with increased utilization of synthesizers, guitars, and drum machines.
;;;;;	Traditional Raï 	Original folk of the popular Algerian Raï, combining various rural and cabaret styles with Bedouin rhythms.
;;;	Moorish Music 	Music of the Moors, the largest ethnic group in Mauritania.
;;	Northeastern African Music 	Music of Northeastern Africa.
;;;	Afar Music 	Music of the Afar people, who inhabit an area spanning parts of Ethiopia, Eritrea and Djibouti.
;;;	Beja Music 	Music of the Beja people of Africa’s Eastern Desert region.
;;;	Dinka Music 	Music of the Dinka people, the most populous ethnic group of South Sudan.
;;;	Ethiopic Music 	Music made by people who speak Ethiopian Semitic languages.
;;;;	Azmari 	Ethiopian/Eritrean singer/songwriters or minstrels equivalent to the Western European bard, the West African griot or the Romanian wandering taraf.
;;;;	Ethio-Jazz 	Unique blend of traditional Ethiopic Music and Jazz.
;;;;	Ethiopian Church Music 	Sacred tradition of the Ethiopian Orthodox Tewahedo Church, sung in an ancient Semitic language called Ge'ez and credited with assembling the current Ethiopian notation system.
;;;;	Manzuma 	Melodic, devotional music performed by Sufi Islami communities in Ethiopia and neighboring countries
;;;;	Tigrinya Music 	Music of the Tigrinya, an ethnic group mainly found in Eritrea and Northern Ethiopia, the Tigray region more specifically.
;;;;	Tizita 	Melancholy song popular in Ethiopia and Eritrea, using the qegnet mode and tuning system.
;;;	Nubian Music 	Music of Nubia, a region centered along the Nile River in northern Sudan and southern Egypt.
;;;	Nuer Music 	Music of the Nuer people of Eastern South Sudan and Western Ethiopia.
;;;	Oromo Music 	Music of the Oromo people, a Cushitic ethnolinguistic group, who primarily live in the Oromia region of Ethiopia and Northern Kenya.
;;;	Shilluk Music 	All musical forms of the Shilluk people of the Upper Nile region of South Sudan.
;;;	Somali Music 	Music developed by the Somali people.
;;;;	Belwo 	Somali poems with themes of love and romance and brief, syncopated tunes.
;;;;	Dhaanto 	Song and dance that originally featured no instruments, but later transformed into a style featuring prominent rhythms and slow grooves.
;;;;	Qaraami 	Dates back to the 1940s and carries regional features such as the use of a pentatonic scale and having the oud as the primary instrument.
;;;	Welayta Music 	Music of the Welayta people.
;;	Seychelles & Mascarene Islands Music 	Styles from La Réunion, Mauritius, Rodrigues, and Seychelles.
;;;	Maloya 	Originated in slave communities on La Réunion; based on a call and response structure and use of traditional instruments.
;;;;	Maloya électronique 	Combines the 6/8 ternary rhythm with Electronic production, using computer music, synthesizers and drum machines.
;;;;	Maloya élektrik 	Prominent in La Réunion island from the 1970s until the 1990s; drew influences from Funk, Psychedelia, and Afrobeat.
;;;;	Traditional Maloya 	Derived from Traditional Séga, this is the original dance music of La Réunion.
;;;	Moutya 	Tradition that originated in Seychelles among Creole slaves, similar to Séga, although rawer and played only on large flat drums made from goatskin.
;;;	Santé engagé 	Emerged in Mauritius in the 1970s, blending the popular Séga style with outside influences.
;;;	Séga 	Mascarene Islands and Seychelles genre featuring a distinctive 6/8 rhythm.
;;;;	Seggae 	Fusion of Séga and Reggae, popular on Mauritius and other Mascarene Islands.
;;;;	Traditional Séga 	Séga dance music born in the 18th century, before its later adoption of Western pop elements.
;;	Southern African Music 	Encompasses Southern African Folk Music and more modern genres, consisting in a specific style of a worldwide popular genre mixed with or rooted in a local traditional folk genre, through South Africa, Lesotho, Botswana, Eswatini, Namibia, southern Angola, and Matabeleland region in southern Zimbabwe.
;;;	Amapiano 	House from South Africa deriving from previous popular genres including Gqom, Kwaito, and Deep House.
;;;;	Afropiano 	Blends the easy-going, poppy, and melodic Afrobeats sound and rhythms with major Amapiano elements, like lush, jazzy, and laid-back atmospheres often featuring light piano chords.
;;;	Bulawayo Jazz 	Emerged from the city of Bulawayo, Zimbabwe in the early 1950s, led by the alto sax and accompanied by ensembles.
;;;	Cape Jazz 	Developed parallel to American Jazz in the early 20th century, named for its origin in Cape Town, South Africa.
;;;	Famo 	Popular and danceable style from Lesotho and the surrounding Sotho-speaking region of South Africa, often featuring the accordion as the lead instrument.
;;;	Gqom 	Evolved from South African House, specifically Kwaito; often described as a more minimal and raw version.
;;;	Isicathamiya 	A cappella Zulu style, which takes a softer, more melodious approach, in contrast to the powerful, loud sound of the earlier Mbube style.
;;;	Jit 	Guitar-driven electric pop from Zimbabwe that draws influence from Central and East African rumba, South African jive and local music.
;;;	Kwaito 	Emerged from South Africa in the early 1990s, taking influence from Disco and Hip Hop.
;;;	Marabi 	South African Jazz with origins in the 1920s and rooted in traditional South African music.
;;;;	Kwela 	Influenced by Zulu music, characterized by its happy melodies, played by pennywhistle flutes and accompanied by a banjo or a guitar.
;;;;	Mbaqanga 	Emerged from the traditional Marabi Jazz and Swing as well as Kwela popular South African genres.
;;;	Maskandi 	Zulu style of music usually led by a fingerpicked acoustic guitar.
;;;	Mbube 	A cappella Zulu genre, performed in a powerful and loud manner by an all-male choir.
;;;	Shangaan Electro 	South African genre with very fast BPM (around 180) featuring MIDI keyboard sounds and marimba.
;;;	Shona Music 	Music of the Shona people, a Bantu ethnic group who form a majority population in Zimbabwe.
;;;;	Chimurenga 	Popular style from Zimbabwe based on the traditional mbira thumb piano, but with electric instrumentation as well.
;;;;	Shona Mbira Music 	Traditional style of the Shona people from Zimbabwe, based on a simple melodic pattern played on the mbira, from which long instrumental parts are improvised.
;;;	Southern African Folk Music 	Traditional Folk Music of southern Africa.
;;;;	Afrikaner Folk Music 	Musical traditions developed by the Afrikaner community in southern Africa.
;;;;	Khoisan Folk Music 	Encompasses traditions of the Khoisan ethnic family groups.
;;;;	Nguni Folk Music 	Traditions of the Nguni ethnic family groups, a southern Bantu ethnicity.
;;;;	Shona Mbira Music 	Traditional style of the Shona people from Zimbabwe, based on a simple melodic pattern played on the mbira, from which long instrumental parts are improvised.
;;;;	Sotho-Tswana Folk Music 	Traditional Folk Music of the Sotho-Tswana ethnic family groups from southern Africa.
;;;	Sungura 	Zimbabwean style combining the guitar work of Soukous with the speed and texture of Benga and the strong bass of Township Jive.
;;;	Township Bubblegum 	Synth-heavy Dance-Pop style popular in the South African townships in the 1980s and early 1990s.
;;;	Township Jive 	Originating in the townships of South Africa, similar to Mbaqanga but bringing in Western pop elements.
;;;	Tsonga Disco 	Drum machines, synthesizers, and male vocals backed by a female choir, singing in a call and response style.
;;	West African Music 	Traditional and regional popular music from the Western portion of Sub-Saharan Africa.
;;;	Afrobeat 	Merges West African styles such as traditional Yoruba Music and Highlife with elements of Funk and Jazz, typically resulting in extended improvisatory jams with call-and-response vocals.
;;;	Afro-Funk 	Strongly mixed with traditional and more modern genres in sub-Saharan West Africa.
;;;	Afro-Rock 	Incorporates West African influences; initially emerged in the early 1970s.
;;;	Akan Music 	Music of the Akan people of Ghana and Côte d'Ivoire, including a variety of traditional and neo-traditional styles which are based on some of the oldest traditions in West Africa.
;;;;	Kete 	Traditional percussive style played at special occasions in the courts of high ranking Asante chieftains.
;;;;	Zoblazo 	Ivorian dance music combining traditional instruments and synthesizers that emerged in the late 1980s.
;;;	Balani Show 	Emerged in the late 1990s in Mali; peaks at around 170BPM and prominently features looping, cut-up balafon samples.
;;;	Dagomba Music 	Music of the Dagomba people of northern Ghana.
;;;	Ewe Music 	Music of the Ewe people, found in southern Togo, southeastern Ghana and southwestern Benin.
;;;;	Agbadza 	National dance-drumming tradition of the Ewe people in Ghana.
;;;;	Agbekor 	War dance of the Ewe people utilizing various percussive instruments and polyrhythms.
;;;	Fon Music 	The traditions of the Fon people, originating in central and southeastern Benin as well as the southwestern region of Nigeria.
;;;;	Tchinkoumé 	Tradition from the central region of Benin around Savalou, played with water percussion.
;;;;	Tchink System 	Urban version of Tchinkoumé featuring traditional tchinkoumé rhythms, derived from zinli, and including contemporary instrumentation from the influence of R&B, Pop and Rock.
;;;;	Zinli 	Traditional rhythmic chanting and percussion adapted to multiple West African contexts in the 20th century.
;;;	Fula Music 	Music of the Fula, Fulani, or Fulɓe people, one of the largest ethnic groups in the Sahel region, present from the far West African countries of Senegal and Mauritania to Central African Cameroon with the biggest population located in Nigeria.
;;;	Griot Music 	Type of hereditary professional caste in West African Music culture that preserves tradition.
;;;	Gumbe 	Vocal and percussive tradition from Guinea-Bissau developed in the 1970s as a fusion of various traditional genres in the country; sometimes used as a catch-all term for the music of Guinea-Bissau in general.
;;;	Hausa Music 	Hausa are one of the largest ethnic groups in Africa, living mainly in northern Nigeria and southern Niger in west Africa.
;;;	Highlife 	Originally began along the Ghanaian coast in the 1920s as a blend of western brass band instrumentation and rhythms with traditional Akan Music and Dagomba Music.
;;;;	Burger-Highlife 	Created by Ghanian immigrants to Germany in the late 1970s, generally employing synthesizers and Western post-production techniques alongside guitar-driven highlife instrumentation.
;;;	Hipco 	Developed in Liberia, often featuring conscious and political lyrics and influences from local dance styles.
;;;	Hiplife 	Fusion of Ghanaian Highlife with Hip Hop.
;;;	Igbo Music 	Music of the Igbo people, who live mainly in a region of southeastern Nigeria often known as "Igboland".
;;;;	Ogene Music 	Traditional acoustic music performed by Igbo groups in southeastern Nigeria centered on call-and-response vocals alongside instrumentation from iron bells, wooden whistles, and jug drums.
;;;	Kabye Folk Music 	Traditional Folk Music of the Kabye people of northern Togo, including some of the most singular styles that can be found in West Africa.
;;;	Kru Music 	Music of the Kru peoples indigenous to Liberia and Ivory Coast.
;;;;	Alloukou 	Created by the Bété people of Côte d'Ivoire, featuring a distinctive rhythm that uses polyrhythms and triplets.
;;;;	Palm Wine Music 	Fusion of the African Folk Music of the region with imported Caribbean Calypso.
;;;;	Ziglibithy 	Ivorian mid-1970s dance music created after the country's independence, influenced by post-colonial trends in African Music.
;;;	Mande Music 	Encompasses the diverse forms of the Mande peoples, a group of West African ethnic groups who speak any of the Mande languages.
;;;	Mossi Music 	Music of the Mossi people of Burkina Faso.
;;;	Songhai Music 	Music of the Songhai people of Mali, who descend from the ancient Songhai Empire which once ruled most of interior West Africa.
;;;	Tradi-moderne ivoirien 	Blends traditional Ivorian songs, rhythms and instruments with modern electric and electronic instruments.
;;;	Wassoulou 	Traditionally sung by women and containing lyrics relating to women's issues such as childbearing and fertility.
;;;	Wolof Music 	Music of the Wolof people of Senegal and The Gambia comprising a wide variety of West African Music traditions influenced by nearby cultures.
;;;;	Mbalax 	Rooted in njuup, a Serer ritual tradition incorporating influences from Cuban, Congolese, and American popular music.
;;;;	Tassu 	Rhythmic poetry that has been a part of Senegalese culture since ancient times.
;;;	Yoruba Music 	Music of the Yoruba people of southwestern Nigeria and Benin, comprising a variety of ancient and modern traditions crucial to West African Music.
;;;;	Apala 	Yoruba Music developed by Muslims during the late 1930s and early 1940s in the Ijebu region of Yorubaland, the current Ogun state.
;;;;	Fuji 	Combines the ajisaari/wéré tradition of improvisational music performed during Ramadan with other Islamic styles like Apala and sakara.
;;;;	Jùjú 	Yoruba Music that emerged during the 1920s in urban settings across Nigeria, especially in Lagos.
;;;;	Santería Music 	Afro-Cuban genre played in religious rituals, combining traditions from both the Cuban and the Yorùbá people.
;;;;	Waka 	Islamic Yoruba Music originally rooted in Hausa traditions and adopted by the Yoruba in the early 19th century.
;;;;	Yoruba Folk Opera 	Musical play involving traditional and popular music.
;;;	Zouglou 	Ivorian dance music that began in the early 1990s, with socially conscious lyrics and driving rhythms.
;;;;	Coupé-décalé 	Bass-heavy and minimal style of Ivorian popular dance music, drawing heavily from Zouglou and Congolese rhythms.
;	Ancient Music 	Umbrella term encompassing all the genres coming after the Prehistoric Music and before the Medieval music eras from ancient civilizations, roughly before 500 CE, following the Western Classical Music point of view with the date of the Roman Empire fall (476 CE).
;;	Ancient Chinese Music 	Covers a very large era of creation from approximately 2100 BCE to 200 CE.
;;	Ancient Egyptian Music 	Music of ancient Egyptian civilization.
;;	Ancient Greek Music 	Music of ancient Greek civilization.
;;	Ancient Levitical Music 	Reconstruction of Jerusalem temple music.
;;	Ancient Roman Music 	Music of ancient Roman civilization.
;;	Hyang-ak 	One of the most common and oldest surviving forms of Korean court music.
;;	Mesopotamian Music 	Music of Mesopotamia, a historical region situated in West Asia within the Tigris–Euphrates river system, comprises the heritage of Sumerians and Akkadians.
;	Arabic Music 	Originating with and primarily performed by the Arab people.
;;	Algerian Chaabi 	Features mournful vocals over an orchestral setting of violins, mandolins, pianos, and percussion.
;;	Arabic Classical Music 	Arabic Classical Music tradition, whose guidelines for modulation, rhythm, and tuning were set down in treatises in the 8th and 9th centuries, based around Maqāmic Music.
;;;	Andalusian Classical Music 	Arabic Classical Music tradition that had its beginnings in Al-Andalus, the medieval Islamic Iberian peninsula, which later spread and developed in the Maghreb.
;;;	Iraqi Maqam 	Highly structured but semi-improvised and rhythmically complex compositions built around set structures which consist of specific maqam modes.
;;;	Sawt 	Poetic vocal form with complex rhythms, emotive singing, and distinctive lute-backed melodies commonly found in the Gulf region and based on a maqam system.
;;	Arabic Folk Music 	Traditional Folk Music of the Arabic people.
;;;	Aita 	Arabic Folk Music from rural Morocco with piercing singing, scratchy viola, and rollicking hand drums.
;;;	Arabic Bellydance Music 	Accompaniment to traditional belly dances.
;;;;	Raqs baladi 	Egyptian folk dance and its associated musical accompaniment, appearing in the 20th century.
;;;	Ayyalah 	Traditional Khaliji-Bedouin weapon performance, commonly found across the United Arab Emirates and Northwestern Oman.
;;;	Fijiri 	Deeply rooted in the Persian Gulf pearl diving culture, and sung during weekly gatherings combining solo and choral sections with minimal percussion.
;;;	Liwa 	Traditional Khaliji performance with East African Music roots centered around the mizmar and traditional drums, typically sung in Khaliji Arabic and Swahili.
;;;	Nuban 	Traditional Afro-Emirati Folk performance of Nuban origin most commonly performed in the emirate of Dubai.
;;;	Sa'idi 	Traditional folkloric performance and form of Arabic Folk Music originating from Upper Egypt.
;;	Arabic Jazz 	Blending of Arabic Music and Jazz.
;;	Arabic Pop 	Synthesis of Arabic Music with Western Pop melodies, almost always sung in Arabic and typically performed with Arabic instruments, alongside some Western instruments like the guitar.
;;;	Al jeel 	Emerged in the 1970s as an alternative to Shaabi, taking influence from foreign Pop and incorporating rhythms of Reggae while retaining a distinctly Egyptian sound.
;;	Bedouin Music 	Music made by the Bedouin, nomadic Arab tribes that have historically inhabited desert regions all across the Arab world.
;;;	Aita 	Arabic Folk Music from rural Morocco with piercing singing, scratchy viola, and rollicking hand drums.
;;;	Ayyalah 	Traditional Khaliji-Bedouin weapon performance, commonly found across the United Arab Emirates and Northwestern Oman.
;;;	Samri 	Traditional dance from Najd, Saudi Arabia, performed by two opposing rows of men who face each other, dancing and moving to the rhythm, in addition to a percussion ensemble.
;;;	Shilla 	Traditional style of sung Nabati poetry, prevalent across the Arabian Peninsula.
;;	Khaliji Music 	Musical traditions of Eastern Arabia and the Persian Gulf region, roughly covering the Arabic-speaking people of the modern countries of the United Arab Emirates, Bahrain, Kuwait, Qatar, Saudi Arabia, Oman, Iraq, and Iran.
;;;	Ayyalah 	Traditional Khaliji-Bedouin weapon performance, commonly found across the United Arab Emirates and Northwestern Oman.
;;;	Fijiri 	Deeply rooted in the Persian Gulf pearl diving culture, and sung during weekly gatherings combining solo and choral sections with minimal percussion.
;;;	Liwa 	Traditional Khaliji performance with East African Music roots centered around the mizmar and traditional drums, typically sung in Khaliji Arabic and Swahili.
;;;	Nuban 	Traditional Afro-Emirati Folk performance of Nuban origin most commonly performed in the emirate of Dubai.
;;;	Samri 	Traditional dance from Najd, Saudi Arabia, performed by two opposing rows of men who face each other, dancing and moving to the rhythm, in addition to a percussion ensemble.
;;;	Sawt 	Poetic vocal form with complex rhythms, emotive singing, and distinctive lute-backed melodies commonly found in the Gulf region and based on a maqam system.
;;;	Shehhi Music 	Musical traditions of the Shihuh, an Arabian tribe native to the United Arab Emirates and Oman.
;;;	Shilla 	Traditional style of sung Nabati poetry, prevalent across the Arabian Peninsula.
;;	Levantine Arabic Music 	The musical traditions of the Levantine Arabs, roughly covering the Arabic people of the modern countries of Israel, Jordan, Lebanon, Palestine, and Syria.
;;;	Dabke 	Fast-paced dance and music style, most commonly performed in the Levant.
;;;	Druze Music 	Musical traditions of the Druze people.
;;	Orkes gambus 	Indonesian songs based on Arabic hits, adapted for a small ensemble featuring the gambus lute, percussion, and electric instruments.
;;	Raï 	Originated in Algeria in the 1920s as a form of Bedouin Music, blending influences from various rural and urban genres.
;;;	Pop Raï 	Fuses melodic sensibilities into the traditional Raï structure, with increased utilization of synthesizers, guitars, and drum machines.
;;;	Traditional Raï 	Original folk of the popular Algerian Raï, combining various rural and cabaret styles with Bedouin rhythms.
;;	Shaabi 	Developed in Egypt during the early 1970s, typically created by and for the urban working class with witty lyrics that reflect this.
;;;	Mahraganat 	Draws elements from Hip Hop, featuring auto-tuned vocals, rapping, Electronic production, and explicit lyrics.
;;;	Trap shaabi 	Combining Trap percussion and rhythms with Egyptian Shaabi and especially Mahraganat.
;;	Traditional Arabic Pop 	Popular music of the Arab world from the first half of the 20th century, with little Western influence; melodic lines are taken from Arabic Folk Music and Arabic Classical Music, and strong emphasis is placed on vocal abilities; single works often include long stretches of singing accompanied by large symphonic string ensembles.
;;	Zajal 	Style of recited poetry found across the Arab world, notably written in colloquial dialects.
;	Asian Music 	Rooted in the traditions of Asian peoples.
;;	Buddhist Music 	Encompassing the various musical practices that have developed throughout Buddhist history and across the many regions Buddhism spread to.
;;;	Beompae 	Korean genre of Buddhist chants and songs performed by monks while celebrating religious rituals in temples.
;;;	Chöd 	Tibetan Buddhist and Bönpo practice incorporating ritualized liturgical chants and instrumental accompaniment from the chöd damaru, drilbu, and kangling.
;;;	Shōmyō 	Japanese Buddhist chant that utilizes the yō scale.
;;;	Tibetan Buddhist Chant 	Ritual vocal music of the Tibetan Buddhist faith characterized by its low pitch, droning repetitiousness, and frequent use of overtone singing.
;;	Central Asian Music 	Music of the former Soviet Central Asian republics, Mongolia, Western China and related neighbouring peoples.
;;;	Altai Music 	Music of the Altai people, an ethnic group who live in central Russia near the border of Mongolia and Kazakhstan.
;;;	Balochi Music 	Music of the Baloch people.
;;;	Bashkir Folk Music 	Traditional folk of the Bashkir people, a Turkic ethnic group inhabiting the Republic of Bashkortostan (Bashkiria), a federal subject of the Russian Federation, and its neighboring areas on both sides of the Ural mountains.
;;;	Burushaski Folk Music 	Traditional Folk Music of the Burusho people of northern Pakistan.
;;;	Central Asian Throat Singing 	Shared polyphonic vocal tradition of Mongolia and southern Siberia characterised by complex manipulation of harmonics.
;;;;	Mongolian Throat Singing 	Traditional music from Mongolia characterized by many throat singing techniques.
;;;;	Tuvan Throat Singing 	Traditional style of singing found in Tuva, an autonomous region of the Russian Federation situated in southern Siberia.
;;;	Hazara Folk Music 	Folk music of the Hazara people, mainly native to central Afghanistan.
;;;	Karakalpak Traditional Music 	Traditions of the Karakalpak people, located in northwestern Uzbekistan.
;;;	Kazakh Music 	Music of the Kazakhs.
;;;	Khakas Traditional Music 	Traditions of the Khakas Republic (part of the Russian Federation), a form of Turkic music related to the musics of neighboring Tuva, Altai and Mongolia.
;;;	Kyrgyz Traditional Music 	Traditions of Kyrgyzstan, a mountainous nation in Central Asia.
;;;	Mongolian Music 	Music of the Mongols.
;;;;	Bogino duu 	Mongolian Music with tuneful composition and simple structure.
;;;;	Buryat Folk Music 	Traditional Folk Music of the Buryat people, a Mongolic ethnic group inhabiting the Republic of Buryatia, a federal subject of the Russian Far East region.
;;;;	Kalmyk Music 	Music of the Kalmyks, a Mongol Buddhist ethnic group inhabiting the Republic of Kalmykia, a federal subject of the Russian Federation.
;;;;	Mongolian Throat Singing 	Traditional music from Mongolia characterized by many throat singing techniques.
;;;;	Urtiin duu 	Mongolian tradition in which sung syllables are extended into long, meditational, vibrato notes called shuranhai; accompanied by traditional Mongolian instruments such as the morin khuur and limbe.
;;;;	Zohioliin duu 	Mixes modern Pop with Mongolian Music, using local and western instruments.
;;;	Pamiri Music 	Music of the Pamiri people native to the Badakhshan region in the Pamir Mountains.
;;;;	Falak 	Songs that reflect the state of living for those indigenous to the Pamir mountains ranges, often sung in high registers.
;;;	Pashto Folk Music 	Traditional Folk Music of the Pashtun people of southern Afghanistan and north-western Pakistan.
;;;	Shashmaqam 	Modal suite that brings together lyrical and instrumental songs, poetry, and dance shared by Tajik Music and Uzbek Music.
;;;	Sufiana kalam 	Classical music from Kashmir, the northernmost part of the Indian subcontinent.
;;;	Tajik Music 	Music of the Tajik people.
;;;	Tibetan Music 	Traditional and modern music of the Tibetan peoples, mainly produced in Tibet and also practiced in Bhutan, Nepal, and northern India, and influential on the traditions of Burma.
;;;;	Chöd 	Tibetan Buddhist and Bönpo practice incorporating ritualized liturgical chants and instrumental accompaniment from the chöd damaru, drilbu, and kangling.
;;;;	Tibetan Buddhist Chant 	Ritual vocal music of the Tibetan Buddhist faith characterized by its low pitch, droning repetitiousness, and frequent use of overtone singing.
